"","4","12","0.0017","HIGH","Sample","F","DJHR","1.516","43","NA","Sample.Key","Type","Site","Analyst","Mass.of.Soil","Total.Volume","Concentration"
"1",5,13,0.0153,"3.18","Sample","QC","DJHR","1.4923","43","NA",1,"CalStd","","",NA,NA,0.1
"2",6,14,0.0033,"12.15","Sample","D","CAG","1.50621","50","NA",1,"CalStd","","",NA,NA,0.1
"3",7,15,0.016,"2.32","Sample","QC","CAG","1.48989","50","NA",1,"CalStd","","",NA,NA,0.1
"4",8,16,0.0039,"10.39","Sample","F","JHV","1.5063","45","NA",1,"CalStd","","",NA,NA,0.1
"5",9,17,0.0206,"3.02","Sample","QC","JHV","1.5236","45","NA",1,"CalStd","","",NA,NA,0.1
"6",10,18,0.0029,"4.69","Sample","D","SJB","1.55","45","NA",1,"CalStd","","",NA,NA,0.1
"7",11,19,0.0209,"3.43","Sample","QC","SJB","1.53","45","NA",1,"CalStd","","",NA,NA,0.1
"8",12,2,0.0105,"7.49","CalStd","","","NA","NA","1",1,"CalStd","","",NA,NA,0.1
"9",13,20,-0.002,"11.59","Sample","MB","MD","0","50","NA",1,"CalStd","","",NA,NA,0.1
"10",14,21,5e-04,"19.53","Sample","D","MD","1.5756","50","NA",1,"CalStd","","",NA,NA,0.1
"11",15,22,0.0072,"4.2","Sample","E","SEP","1.6","44","NA",1,"CalStd","","",NA,NA,0.1
"12",16,23,0.0143,"3.94","Sample","QC","SEP","1.0136","42.5","NA",1,"CalStd","","",NA,NA,0.1
"13",17,24,0.0188,"3.5","Sample","C","SGB","1.5074","44","NA",1,"CalStd","","",NA,NA,0.1
"14",18,25,-0.0024,"10.59","Sample","MB","SGB","0","44.5","NA",1,"CalStd","","",NA,NA,0.1
"15",19,26,0.0089,"8.18","Sample","C","AWB","1.5115","42.5","NA",1,"CalStd","","",NA,NA,0.1
"16",20,27,0.0202,"1.79","Sample","QC","AWB","1.5794","43.5","NA",1,"CalStd","","",NA,NA,0.1
"17",21,28,-0.0018,"10.83","CalStd2","","","NA","NA","0.1",1,"CalStd","","",NA,NA,0.1
"18",22,29,0.0096,"4.23","CalStd2","","","NA","NA","1",1,"CalStd","","",NA,NA,0.1
"19",23,3,0.0226,"0.14","CalStd","","","NA","NA","2",1,"CalStd","","",NA,NA,0.1
"20",24,30,0.0222,"2.93","CalStd2","","","NA","NA","2",1,"CalStd","","",NA,NA,0.1
"21",25,31,0.0643,"3.57","CalStd2","","","NA","NA","5",1,"CalStd","","",NA,NA,0.1
"22",26,32,0.1266,"2.26","CalStd2","","","NA","NA","10",1,"CalStd","","",NA,NA,0.1
"23",27,38,0.0111,"6.4","Sample","C","GB","1.5127","50","NA",1,"CalStd","","",NA,NA,0.1
"24",28,39,0.0172,"2.01","Sample","QC","GB","1.5554","45","NA",1,"CalStd","","",NA,NA,0.1
"25",29,4,0.0584,"2.64","CalStd","","","NA","NA","5",1,"CalStd","","",NA,NA,0.1
"26",30,40,0.0049,"4.45","Sample","B","AB","1.5378","50","NA",1,"CalStd","","",NA,NA,0.1
"27",31,41,0.0058,"1.64","Sample","B","LF","1.4587","45","NA",1,"CalStd","","",NA,NA,0.1
"28",32,42,-5e-04,"HIGH","Sample","MB","LF","0","45","NA",1,"CalStd","","",NA,NA,0.1
"29",33,43,-7e-04,"HIGH","Sample","MB","AB","0","45","NA",1,"CalStd","","",NA,NA,0.1
"30",34,44,0.0247,"2.39","Sample","QC","KAD","1.5598","50","NA",1,"CalStd","","",NA,NA,0.1
"31",35,45,0.0064,"2.38","Sample","B","KAD","1.54","45","NA",1,"CalStd","","",NA,NA,0.1
"32",36,46,0.0102,"4.06","Sample","A","LML","1.57641","43","NA",1,"CalStd","","",NA,NA,0.1
"33",37,47,0.0252,"1.36","Sample","QC","LML","1.54717","43","NA",1,"CalStd","","",NA,NA,0.1
"34",38,48,0.0132,"4.62","Sample","A","AH","1.5","43.7","NA",1,"CalStd","","",NA,NA,0.1
"35",39,49,-0.0012,"4.12","Sample","MB","AH","0","45","NA",1,"CalStd","","",NA,NA,0.1
"36",40,5,0.1149,"3.62","CalStd","","","NA","NA","10",1,"CalStd","","",NA,NA,0.1
"37",41,50,-0.0014,"HIGH","Sample","MB","LG","0","45.2","NA",1,"CalStd","","",NA,NA,0.1
"38",42,51,0.0027,"2.04","Sample","C","LG","1.5038","45","NA",1,"CalStd","","",NA,NA,0.1
"39",43,52,0.006,"4.14","Sample","B","MF","1.4581","18","NA",1,"CalStd","","",NA,NA,0.1
"40",44,53,0.0249,"4.56","Sample","QC","MF","1.5916","22","NA",1,"CalStd","","",NA,NA,0.1
"41",45,54,0.0063,"3.31","Sample","A","LAK","1.5235","40","NA",1,"CalStd","","",NA,NA,0.1
"42",46,55,-0.001,"HIGH","Sample","MB","LAK","0","45","NA",1,"CalStd","","",NA,NA,0.1
"43",47,56,0.0068,"5.36","Sample","A","AVM","1.5375","47","NA",1,"CalStd","","",NA,NA,0.1
"44",48,57,0.023,"3.42","Sample","QC","AVM","1.5167","45","NA",1,"CalStd","","",NA,NA,0.1
"45",49,58,0.0079,"2.8","Sample","B","SS","1.5363","42.5","NA",1,"CalStd","","",NA,NA,0.1
"46",50,59,0.0246,"1.06","Sample","QC","SS","1.5578","42.8","NA",1,"CalStd","","",NA,NA,0.1
"47",51,6,0.0086,"7.27","Sample","C","MRMJ","1.5009","45","NA",1,"CalStd","","",NA,NA,0.1
"48",52,60,-3e-04,"HIGH","CalStd4","","","NA","NA","0.1",1,"CalStd","","",NA,NA,0.1
"49",53,61,0.0123,"3.82","CalStd4","","","NA","NA","1",1,"CalStd","","",NA,NA,0.1
"50",54,62,0.0267,"2.5","CalStd4","","","NA","NA","2",1,"CalStd","","",NA,NA,0.1
"51",55,63,0.0688,"2.43","CalStd4","","","NA","NA","5",1,"CalStd","","",NA,NA,0.1
"52",56,64,0.1422,"1.72","CalStd4","","","NA","NA","10",1,"CalStd","","",NA,NA,0.1
"53",57,7,-0.0016,"6.84","Sample","MB","MRMJ","0","45","NA",1,"CalStd","","",NA,NA,0.1
"54",58,8,0.0019,"HIGH","Sample","E","ARG","1.5423","50","NA",1,"CalStd","","",NA,NA,0.1
"55",59,9,-0.0019,"11.08","Sample","MB","ARG","0","50","NA",1,"CalStd","","",NA,NA,0.1
"56",5,13,0.0153,"3.18","Sample","QC","DJHR","1.4923","43","NA",2,"CalStd","","",NA,NA,1
"57",6,14,0.0033,"12.15","Sample","D","CAG","1.50621","50","NA",2,"CalStd","","",NA,NA,1
"58",7,15,0.016,"2.32","Sample","QC","CAG","1.48989","50","NA",2,"CalStd","","",NA,NA,1
"59",8,16,0.0039,"10.39","Sample","F","JHV","1.5063","45","NA",2,"CalStd","","",NA,NA,1
"60",9,17,0.0206,"3.02","Sample","QC","JHV","1.5236","45","NA",2,"CalStd","","",NA,NA,1
"61",10,18,0.0029,"4.69","Sample","D","SJB","1.55","45","NA",2,"CalStd","","",NA,NA,1
"62",11,19,0.0209,"3.43","Sample","QC","SJB","1.53","45","NA",2,"CalStd","","",NA,NA,1
"63",12,2,0.0105,"7.49","CalStd","","","NA","NA","1",2,"CalStd","","",NA,NA,1
"64",13,20,-0.002,"11.59","Sample","MB","MD","0","50","NA",2,"CalStd","","",NA,NA,1
"65",14,21,5e-04,"19.53","Sample","D","MD","1.5756","50","NA",2,"CalStd","","",NA,NA,1
"66",15,22,0.0072,"4.2","Sample","E","SEP","1.6","44","NA",2,"CalStd","","",NA,NA,1
"67",16,23,0.0143,"3.94","Sample","QC","SEP","1.0136","42.5","NA",2,"CalStd","","",NA,NA,1
"68",17,24,0.0188,"3.5","Sample","C","SGB","1.5074","44","NA",2,"CalStd","","",NA,NA,1
"69",18,25,-0.0024,"10.59","Sample","MB","SGB","0","44.5","NA",2,"CalStd","","",NA,NA,1
"70",19,26,0.0089,"8.18","Sample","C","AWB","1.5115","42.5","NA",2,"CalStd","","",NA,NA,1
"71",20,27,0.0202,"1.79","Sample","QC","AWB","1.5794","43.5","NA",2,"CalStd","","",NA,NA,1
"72",21,28,-0.0018,"10.83","CalStd2","","","NA","NA","0.1",2,"CalStd","","",NA,NA,1
"73",22,29,0.0096,"4.23","CalStd2","","","NA","NA","1",2,"CalStd","","",NA,NA,1
"74",23,3,0.0226,"0.14","CalStd","","","NA","NA","2",2,"CalStd","","",NA,NA,1
"75",24,30,0.0222,"2.93","CalStd2","","","NA","NA","2",2,"CalStd","","",NA,NA,1
"76",25,31,0.0643,"3.57","CalStd2","","","NA","NA","5",2,"CalStd","","",NA,NA,1
"77",26,32,0.1266,"2.26","CalStd2","","","NA","NA","10",2,"CalStd","","",NA,NA,1
"78",27,38,0.0111,"6.4","Sample","C","GB","1.5127","50","NA",2,"CalStd","","",NA,NA,1
"79",28,39,0.0172,"2.01","Sample","QC","GB","1.5554","45","NA",2,"CalStd","","",NA,NA,1
"80",29,4,0.0584,"2.64","CalStd","","","NA","NA","5",2,"CalStd","","",NA,NA,1
"81",30,40,0.0049,"4.45","Sample","B","AB","1.5378","50","NA",2,"CalStd","","",NA,NA,1
"82",31,41,0.0058,"1.64","Sample","B","LF","1.4587","45","NA",2,"CalStd","","",NA,NA,1
"83",32,42,-5e-04,"HIGH","Sample","MB","LF","0","45","NA",2,"CalStd","","",NA,NA,1
"84",33,43,-7e-04,"HIGH","Sample","MB","AB","0","45","NA",2,"CalStd","","",NA,NA,1
"85",34,44,0.0247,"2.39","Sample","QC","KAD","1.5598","50","NA",2,"CalStd","","",NA,NA,1
"86",35,45,0.0064,"2.38","Sample","B","KAD","1.54","45","NA",2,"CalStd","","",NA,NA,1
"87",36,46,0.0102,"4.06","Sample","A","LML","1.57641","43","NA",2,"CalStd","","",NA,NA,1
"88",37,47,0.0252,"1.36","Sample","QC","LML","1.54717","43","NA",2,"CalStd","","",NA,NA,1
"89",38,48,0.0132,"4.62","Sample","A","AH","1.5","43.7","NA",2,"CalStd","","",NA,NA,1
"90",39,49,-0.0012,"4.12","Sample","MB","AH","0","45","NA",2,"CalStd","","",NA,NA,1
"91",40,5,0.1149,"3.62","CalStd","","","NA","NA","10",2,"CalStd","","",NA,NA,1
"92",41,50,-0.0014,"HIGH","Sample","MB","LG","0","45.2","NA",2,"CalStd","","",NA,NA,1
"93",42,51,0.0027,"2.04","Sample","C","LG","1.5038","45","NA",2,"CalStd","","",NA,NA,1
"94",43,52,0.006,"4.14","Sample","B","MF","1.4581","18","NA",2,"CalStd","","",NA,NA,1
"95",44,53,0.0249,"4.56","Sample","QC","MF","1.5916","22","NA",2,"CalStd","","",NA,NA,1
"96",45,54,0.0063,"3.31","Sample","A","LAK","1.5235","40","NA",2,"CalStd","","",NA,NA,1
"97",46,55,-0.001,"HIGH","Sample","MB","LAK","0","45","NA",2,"CalStd","","",NA,NA,1
"98",47,56,0.0068,"5.36","Sample","A","AVM","1.5375","47","NA",2,"CalStd","","",NA,NA,1
"99",48,57,0.023,"3.42","Sample","QC","AVM","1.5167","45","NA",2,"CalStd","","",NA,NA,1
"100",49,58,0.0079,"2.8","Sample","B","SS","1.5363","42.5","NA",2,"CalStd","","",NA,NA,1
"101",50,59,0.0246,"1.06","Sample","QC","SS","1.5578","42.8","NA",2,"CalStd","","",NA,NA,1
"102",51,6,0.0086,"7.27","Sample","C","MRMJ","1.5009","45","NA",2,"CalStd","","",NA,NA,1
"103",52,60,-3e-04,"HIGH","CalStd4","","","NA","NA","0.1",2,"CalStd","","",NA,NA,1
"104",53,61,0.0123,"3.82","CalStd4","","","NA","NA","1",2,"CalStd","","",NA,NA,1
"105",54,62,0.0267,"2.5","CalStd4","","","NA","NA","2",2,"CalStd","","",NA,NA,1
"106",55,63,0.0688,"2.43","CalStd4","","","NA","NA","5",2,"CalStd","","",NA,NA,1
"107",56,64,0.1422,"1.72","CalStd4","","","NA","NA","10",2,"CalStd","","",NA,NA,1
"108",57,7,-0.0016,"6.84","Sample","MB","MRMJ","0","45","NA",2,"CalStd","","",NA,NA,1
"109",58,8,0.0019,"HIGH","Sample","E","ARG","1.5423","50","NA",2,"CalStd","","",NA,NA,1
"110",59,9,-0.0019,"11.08","Sample","MB","ARG","0","50","NA",2,"CalStd","","",NA,NA,1
"111",5,13,0.0153,"3.18","Sample","QC","DJHR","1.4923","43","NA",3,"CalStd","","",NA,NA,2
"112",6,14,0.0033,"12.15","Sample","D","CAG","1.50621","50","NA",3,"CalStd","","",NA,NA,2
"113",7,15,0.016,"2.32","Sample","QC","CAG","1.48989","50","NA",3,"CalStd","","",NA,NA,2
"114",8,16,0.0039,"10.39","Sample","F","JHV","1.5063","45","NA",3,"CalStd","","",NA,NA,2
"115",9,17,0.0206,"3.02","Sample","QC","JHV","1.5236","45","NA",3,"CalStd","","",NA,NA,2
"116",10,18,0.0029,"4.69","Sample","D","SJB","1.55","45","NA",3,"CalStd","","",NA,NA,2
"117",11,19,0.0209,"3.43","Sample","QC","SJB","1.53","45","NA",3,"CalStd","","",NA,NA,2
"118",12,2,0.0105,"7.49","CalStd","","","NA","NA","1",3,"CalStd","","",NA,NA,2
"119",13,20,-0.002,"11.59","Sample","MB","MD","0","50","NA",3,"CalStd","","",NA,NA,2
"120",14,21,5e-04,"19.53","Sample","D","MD","1.5756","50","NA",3,"CalStd","","",NA,NA,2
"121",15,22,0.0072,"4.2","Sample","E","SEP","1.6","44","NA",3,"CalStd","","",NA,NA,2
"122",16,23,0.0143,"3.94","Sample","QC","SEP","1.0136","42.5","NA",3,"CalStd","","",NA,NA,2
"123",17,24,0.0188,"3.5","Sample","C","SGB","1.5074","44","NA",3,"CalStd","","",NA,NA,2
"124",18,25,-0.0024,"10.59","Sample","MB","SGB","0","44.5","NA",3,"CalStd","","",NA,NA,2
"125",19,26,0.0089,"8.18","Sample","C","AWB","1.5115","42.5","NA",3,"CalStd","","",NA,NA,2
"126",20,27,0.0202,"1.79","Sample","QC","AWB","1.5794","43.5","NA",3,"CalStd","","",NA,NA,2
"127",21,28,-0.0018,"10.83","CalStd2","","","NA","NA","0.1",3,"CalStd","","",NA,NA,2
"128",22,29,0.0096,"4.23","CalStd2","","","NA","NA","1",3,"CalStd","","",NA,NA,2
"129",23,3,0.0226,"0.14","CalStd","","","NA","NA","2",3,"CalStd","","",NA,NA,2
"130",24,30,0.0222,"2.93","CalStd2","","","NA","NA","2",3,"CalStd","","",NA,NA,2
"131",25,31,0.0643,"3.57","CalStd2","","","NA","NA","5",3,"CalStd","","",NA,NA,2
"132",26,32,0.1266,"2.26","CalStd2","","","NA","NA","10",3,"CalStd","","",NA,NA,2
"133",27,38,0.0111,"6.4","Sample","C","GB","1.5127","50","NA",3,"CalStd","","",NA,NA,2
"134",28,39,0.0172,"2.01","Sample","QC","GB","1.5554","45","NA",3,"CalStd","","",NA,NA,2
"135",29,4,0.0584,"2.64","CalStd","","","NA","NA","5",3,"CalStd","","",NA,NA,2
"136",30,40,0.0049,"4.45","Sample","B","AB","1.5378","50","NA",3,"CalStd","","",NA,NA,2
"137",31,41,0.0058,"1.64","Sample","B","LF","1.4587","45","NA",3,"CalStd","","",NA,NA,2
"138",32,42,-5e-04,"HIGH","Sample","MB","LF","0","45","NA",3,"CalStd","","",NA,NA,2
"139",33,43,-7e-04,"HIGH","Sample","MB","AB","0","45","NA",3,"CalStd","","",NA,NA,2
"140",34,44,0.0247,"2.39","Sample","QC","KAD","1.5598","50","NA",3,"CalStd","","",NA,NA,2
"141",35,45,0.0064,"2.38","Sample","B","KAD","1.54","45","NA",3,"CalStd","","",NA,NA,2
"142",36,46,0.0102,"4.06","Sample","A","LML","1.57641","43","NA",3,"CalStd","","",NA,NA,2
"143",37,47,0.0252,"1.36","Sample","QC","LML","1.54717","43","NA",3,"CalStd","","",NA,NA,2
"144",38,48,0.0132,"4.62","Sample","A","AH","1.5","43.7","NA",3,"CalStd","","",NA,NA,2
"145",39,49,-0.0012,"4.12","Sample","MB","AH","0","45","NA",3,"CalStd","","",NA,NA,2
"146",40,5,0.1149,"3.62","CalStd","","","NA","NA","10",3,"CalStd","","",NA,NA,2
"147",41,50,-0.0014,"HIGH","Sample","MB","LG","0","45.2","NA",3,"CalStd","","",NA,NA,2
"148",42,51,0.0027,"2.04","Sample","C","LG","1.5038","45","NA",3,"CalStd","","",NA,NA,2
"149",43,52,0.006,"4.14","Sample","B","MF","1.4581","18","NA",3,"CalStd","","",NA,NA,2
"150",44,53,0.0249,"4.56","Sample","QC","MF","1.5916","22","NA",3,"CalStd","","",NA,NA,2
"151",45,54,0.0063,"3.31","Sample","A","LAK","1.5235","40","NA",3,"CalStd","","",NA,NA,2
"152",46,55,-0.001,"HIGH","Sample","MB","LAK","0","45","NA",3,"CalStd","","",NA,NA,2
"153",47,56,0.0068,"5.36","Sample","A","AVM","1.5375","47","NA",3,"CalStd","","",NA,NA,2
"154",48,57,0.023,"3.42","Sample","QC","AVM","1.5167","45","NA",3,"CalStd","","",NA,NA,2
"155",49,58,0.0079,"2.8","Sample","B","SS","1.5363","42.5","NA",3,"CalStd","","",NA,NA,2
"156",50,59,0.0246,"1.06","Sample","QC","SS","1.5578","42.8","NA",3,"CalStd","","",NA,NA,2
"157",51,6,0.0086,"7.27","Sample","C","MRMJ","1.5009","45","NA",3,"CalStd","","",NA,NA,2
"158",52,60,-3e-04,"HIGH","CalStd4","","","NA","NA","0.1",3,"CalStd","","",NA,NA,2
"159",53,61,0.0123,"3.82","CalStd4","","","NA","NA","1",3,"CalStd","","",NA,NA,2
"160",54,62,0.0267,"2.5","CalStd4","","","NA","NA","2",3,"CalStd","","",NA,NA,2
"161",55,63,0.0688,"2.43","CalStd4","","","NA","NA","5",3,"CalStd","","",NA,NA,2
"162",56,64,0.1422,"1.72","CalStd4","","","NA","NA","10",3,"CalStd","","",NA,NA,2
"163",57,7,-0.0016,"6.84","Sample","MB","MRMJ","0","45","NA",3,"CalStd","","",NA,NA,2
"164",58,8,0.0019,"HIGH","Sample","E","ARG","1.5423","50","NA",3,"CalStd","","",NA,NA,2
"165",59,9,-0.0019,"11.08","Sample","MB","ARG","0","50","NA",3,"CalStd","","",NA,NA,2
"166",5,13,0.0153,"3.18","Sample","QC","DJHR","1.4923","43","NA",4,"CalStd","","",NA,NA,5
"167",6,14,0.0033,"12.15","Sample","D","CAG","1.50621","50","NA",4,"CalStd","","",NA,NA,5
"168",7,15,0.016,"2.32","Sample","QC","CAG","1.48989","50","NA",4,"CalStd","","",NA,NA,5
"169",8,16,0.0039,"10.39","Sample","F","JHV","1.5063","45","NA",4,"CalStd","","",NA,NA,5
"170",9,17,0.0206,"3.02","Sample","QC","JHV","1.5236","45","NA",4,"CalStd","","",NA,NA,5
"171",10,18,0.0029,"4.69","Sample","D","SJB","1.55","45","NA",4,"CalStd","","",NA,NA,5
"172",11,19,0.0209,"3.43","Sample","QC","SJB","1.53","45","NA",4,"CalStd","","",NA,NA,5
"173",12,2,0.0105,"7.49","CalStd","","","NA","NA","1",4,"CalStd","","",NA,NA,5
"174",13,20,-0.002,"11.59","Sample","MB","MD","0","50","NA",4,"CalStd","","",NA,NA,5
"175",14,21,5e-04,"19.53","Sample","D","MD","1.5756","50","NA",4,"CalStd","","",NA,NA,5
"176",15,22,0.0072,"4.2","Sample","E","SEP","1.6","44","NA",4,"CalStd","","",NA,NA,5
"177",16,23,0.0143,"3.94","Sample","QC","SEP","1.0136","42.5","NA",4,"CalStd","","",NA,NA,5
"178",17,24,0.0188,"3.5","Sample","C","SGB","1.5074","44","NA",4,"CalStd","","",NA,NA,5
"179",18,25,-0.0024,"10.59","Sample","MB","SGB","0","44.5","NA",4,"CalStd","","",NA,NA,5
"180",19,26,0.0089,"8.18","Sample","C","AWB","1.5115","42.5","NA",4,"CalStd","","",NA,NA,5
"181",20,27,0.0202,"1.79","Sample","QC","AWB","1.5794","43.5","NA",4,"CalStd","","",NA,NA,5
"182",21,28,-0.0018,"10.83","CalStd2","","","NA","NA","0.1",4,"CalStd","","",NA,NA,5
"183",22,29,0.0096,"4.23","CalStd2","","","NA","NA","1",4,"CalStd","","",NA,NA,5
"184",23,3,0.0226,"0.14","CalStd","","","NA","NA","2",4,"CalStd","","",NA,NA,5
"185",24,30,0.0222,"2.93","CalStd2","","","NA","NA","2",4,"CalStd","","",NA,NA,5
"186",25,31,0.0643,"3.57","CalStd2","","","NA","NA","5",4,"CalStd","","",NA,NA,5
"187",26,32,0.1266,"2.26","CalStd2","","","NA","NA","10",4,"CalStd","","",NA,NA,5
"188",27,38,0.0111,"6.4","Sample","C","GB","1.5127","50","NA",4,"CalStd","","",NA,NA,5
"189",28,39,0.0172,"2.01","Sample","QC","GB","1.5554","45","NA",4,"CalStd","","",NA,NA,5
"190",29,4,0.0584,"2.64","CalStd","","","NA","NA","5",4,"CalStd","","",NA,NA,5
"191",30,40,0.0049,"4.45","Sample","B","AB","1.5378","50","NA",4,"CalStd","","",NA,NA,5
"192",31,41,0.0058,"1.64","Sample","B","LF","1.4587","45","NA",4,"CalStd","","",NA,NA,5
"193",32,42,-5e-04,"HIGH","Sample","MB","LF","0","45","NA",4,"CalStd","","",NA,NA,5
"194",33,43,-7e-04,"HIGH","Sample","MB","AB","0","45","NA",4,"CalStd","","",NA,NA,5
"195",34,44,0.0247,"2.39","Sample","QC","KAD","1.5598","50","NA",4,"CalStd","","",NA,NA,5
"196",35,45,0.0064,"2.38","Sample","B","KAD","1.54","45","NA",4,"CalStd","","",NA,NA,5
"197",36,46,0.0102,"4.06","Sample","A","LML","1.57641","43","NA",4,"CalStd","","",NA,NA,5
