"","4","12","0.0017","HIGH","Sample","F","DJHR","1.516","43","NA","Sample.Key","Type","Site","Analyst","Mass.of.Soil","Total.Volume","Concentration"
"322",51,6,0.0086,"7.27","Sample","C","MRMJ","1.5009","45","NA",6,"Sample","C","MRMJ",1.5009,45,NA
"323",52,60,-3e-04,"HIGH","CalStd4","","","NA","NA","0.1",6,"Sample","C","MRMJ",1.5009,45,NA
"324",53,61,0.0123,"3.82","CalStd4","","","NA","NA","1",6,"Sample","C","MRMJ",1.5009,45,NA
"325",54,62,0.0267,"2.5","CalStd4","","","NA","NA","2",6,"Sample","C","MRMJ",1.5009,45,NA
"326",55,63,0.0688,"2.43","CalStd4","","","NA","NA","5",6,"Sample","C","MRMJ",1.5009,45,NA
"327",56,64,0.1422,"1.72","CalStd4","","","NA","NA","10",6,"Sample","C","MRMJ",1.5009,45,NA
"328",57,7,-0.0016,"6.84","Sample","MB","MRMJ","0","45","NA",6,"Sample","C","MRMJ",1.5009,45,NA
"329",58,8,0.0019,"HIGH","Sample","E","ARG","1.5423","50","NA",6,"Sample","C","MRMJ",1.5009,45,NA
"330",59,9,-0.0019,"11.08","Sample","MB","ARG","0","50","NA",6,"Sample","C","MRMJ",1.5009,45,NA
"331",5,13,0.0153,"3.18","Sample","QC","DJHR","1.4923","43","NA",7,"Sample","MB","MRMJ",0,45,NA
"332",6,14,0.0033,"12.15","Sample","D","CAG","1.50621","50","NA",7,"Sample","MB","MRMJ",0,45,NA
"333",7,15,0.016,"2.32","Sample","QC","CAG","1.48989","50","NA",7,"Sample","MB","MRMJ",0,45,NA
"334",8,16,0.0039,"10.39","Sample","F","JHV","1.5063","45","NA",7,"Sample","MB","MRMJ",0,45,NA
"335",9,17,0.0206,"3.02","Sample","QC","JHV","1.5236","45","NA",7,"Sample","MB","MRMJ",0,45,NA
"336",10,18,0.0029,"4.69","Sample","D","SJB","1.55","45","NA",7,"Sample","MB","MRMJ",0,45,NA
"337",11,19,0.0209,"3.43","Sample","QC","SJB","1.53","45","NA",7,"Sample","MB","MRMJ",0,45,NA
"338",12,2,0.0105,"7.49","CalStd","","","NA","NA","1",7,"Sample","MB","MRMJ",0,45,NA
"339",13,20,-0.002,"11.59","Sample","MB","MD","0","50","NA",7,"Sample","MB","MRMJ",0,45,NA
"340",14,21,5e-04,"19.53","Sample","D","MD","1.5756","50","NA",7,"Sample","MB","MRMJ",0,45,NA
"341",15,22,0.0072,"4.2","Sample","E","SEP","1.6","44","NA",7,"Sample","MB","MRMJ",0,45,NA
"342",16,23,0.0143,"3.94","Sample","QC","SEP","1.0136","42.5","NA",7,"Sample","MB","MRMJ",0,45,NA
"343",17,24,0.0188,"3.5","Sample","C","SGB","1.5074","44","NA",7,"Sample","MB","MRMJ",0,45,NA
"344",18,25,-0.0024,"10.59","Sample","MB","SGB","0","44.5","NA",7,"Sample","MB","MRMJ",0,45,NA
"345",19,26,0.0089,"8.18","Sample","C","AWB","1.5115","42.5","NA",7,"Sample","MB","MRMJ",0,45,NA
"346",20,27,0.0202,"1.79","Sample","QC","AWB","1.5794","43.5","NA",7,"Sample","MB","MRMJ",0,45,NA
"347",21,28,-0.0018,"10.83","CalStd2","","","NA","NA","0.1",7,"Sample","MB","MRMJ",0,45,NA
"348",22,29,0.0096,"4.23","CalStd2","","","NA","NA","1",7,"Sample","MB","MRMJ",0,45,NA
"349",23,3,0.0226,"0.14","CalStd","","","NA","NA","2",7,"Sample","MB","MRMJ",0,45,NA
"350",24,30,0.0222,"2.93","CalStd2","","","NA","NA","2",7,"Sample","MB","MRMJ",0,45,NA
"351",25,31,0.0643,"3.57","CalStd2","","","NA","NA","5",7,"Sample","MB","MRMJ",0,45,NA
"352",26,32,0.1266,"2.26","CalStd2","","","NA","NA","10",7,"Sample","MB","MRMJ",0,45,NA
"353",27,38,0.0111,"6.4","Sample","C","GB","1.5127","50","NA",7,"Sample","MB","MRMJ",0,45,NA
"354",28,39,0.0172,"2.01","Sample","QC","GB","1.5554","45","NA",7,"Sample","MB","MRMJ",0,45,NA
"355",29,4,0.0584,"2.64","CalStd","","","NA","NA","5",7,"Sample","MB","MRMJ",0,45,NA
"356",30,40,0.0049,"4.45","Sample","B","AB","1.5378","50","NA",7,"Sample","MB","MRMJ",0,45,NA
"357",31,41,0.0058,"1.64","Sample","B","LF","1.4587","45","NA",7,"Sample","MB","MRMJ",0,45,NA
"358",32,42,-5e-04,"HIGH","Sample","MB","LF","0","45","NA",7,"Sample","MB","MRMJ",0,45,NA
"359",33,43,-7e-04,"HIGH","Sample","MB","AB","0","45","NA",7,"Sample","MB","MRMJ",0,45,NA
"360",34,44,0.0247,"2.39","Sample","QC","KAD","1.5598","50","NA",7,"Sample","MB","MRMJ",0,45,NA
"361",35,45,0.0064,"2.38","Sample","B","KAD","1.54","45","NA",7,"Sample","MB","MRMJ",0,45,NA
"362",36,46,0.0102,"4.06","Sample","A","LML","1.57641","43","NA",7,"Sample","MB","MRMJ",0,45,NA
"363",37,47,0.0252,"1.36","Sample","QC","LML","1.54717","43","NA",7,"Sample","MB","MRMJ",0,45,NA
"364",38,48,0.0132,"4.62","Sample","A","AH","1.5","43.7","NA",7,"Sample","MB","MRMJ",0,45,NA
"365",39,49,-0.0012,"4.12","Sample","MB","AH","0","45","NA",7,"Sample","MB","MRMJ",0,45,NA
"366",40,5,0.1149,"3.62","CalStd","","","NA","NA","10",7,"Sample","MB","MRMJ",0,45,NA
"367",41,50,-0.0014,"HIGH","Sample","MB","LG","0","45.2","NA",7,"Sample","MB","MRMJ",0,45,NA
"368",42,51,0.0027,"2.04","Sample","C","LG","1.5038","45","NA",7,"Sample","MB","MRMJ",0,45,NA
"369",43,52,0.006,"4.14","Sample","B","MF","1.4581","18","NA",7,"Sample","MB","MRMJ",0,45,NA
"370",44,53,0.0249,"4.56","Sample","QC","MF","1.5916","22","NA",7,"Sample","MB","MRMJ",0,45,NA
"371",45,54,0.0063,"3.31","Sample","A","LAK","1.5235","40","NA",7,"Sample","MB","MRMJ",0,45,NA
"372",46,55,-0.001,"HIGH","Sample","MB","LAK","0","45","NA",7,"Sample","MB","MRMJ",0,45,NA
"373",47,56,0.0068,"5.36","Sample","A","AVM","1.5375","47","NA",7,"Sample","MB","MRMJ",0,45,NA
